"","Position","Club","Played","W","D","L","GF","GA","GD","Pts","Matchday"
"1",1,"Arsenal",17,14,2,1,40,14,26,44,19
"2",2,"Man City",17,12,3,2,45,16,29,39,19
"3",3,"Newcastle",18,9,8,1,32,11,21,35,19
"4",4,"Man Utd",17,11,2,4,27,20,7,35,19
"5",5,"Spurs",18,10,3,5,37,25,12,33,19
"6",6,"Liverpool",17,8,4,5,34,22,12,28,19
"7",7,"Fulham",18,8,4,6,30,27,3,28,19
"8",8,"Brighton",17,8,3,6,32,25,7,27,19
"9",9,"Brentford",18,6,8,4,30,28,2,26,19
"10",10,"Chelsea",17,7,4,6,20,19,1,25,19
"11",11,"Aston Villa",18,6,4,8,20,26,-6,22,19
"12",12,"Crystal Palace",17,6,4,7,17,25,-8,22,19
"13",13,"Leicester",18,5,2,11,26,31,-5,17,19
"14",14,"Leeds",17,4,5,8,25,31,-6,17,19
"15",15,"Nottm Forest",18,4,5,9,13,34,-21,17,19
"16",16,"Bournemouth",18,4,4,10,18,39,-21,16,19
"17",17,"West Ham",18,4,3,11,15,24,-9,15,19
"18",18,"Everton",18,3,6,9,14,24,-10,15,19
"19",19,"Wolves",18,3,5,10,11,27,-16,14,19
"20",20,"Southampton",18,3,3,12,15,33,-18,12,19
